Customer_ID,Total_Spend,Total_Items,Purchase_Frequency,Segment
210,19595,15,7,High Value
211,20362,32,10,High Value
212,15762,21,6,Medium Value
213,10744,22,6,Low Value
214,11660,12,3,Medium Value
215,11725,14,4,Medium Value
216,26535,34,8,High Value
217,8551,16,5,Low Value
218,21620,26,8,High Value
219,13360,11,6,Medium Value
220,7400,16,4,Low Value
221,21964,10,6,High Value
222,10799,14,4,Low Value
223,10202,12,4,Low Value
224,16799,16,6,Medium Value
225,7280,11,3,Low Value
226,12910,13,5,Medium Value
227,9489,16,4,Low Value
228,7175,11,4,Low Value
229,18119,22,6,High Value
230,29553,24,10,High Value
231,15841,13,6,Medium Value
232,23483,19,6,High Value
233,15177,15,5,Medium Value
234,7910,12,4,Low Value
235,14572,10,4,Medium Value
236,22060,24,10,High Value
237,17112,18,7,Medium Value
238,25783,31,8,High Value
239,20511,25,7,High Value
240,7011,13,4,Low Value
241,3491,10,3,Low Value
242,5090,9,3,Low Value
243,19370,20,7,High Value
244,15342,27,7,Medium Value
245,7939,13,3,Low Value
246,11308,9,3,Low Value
247,8715,15,5,Low Value
248,24306,24,6,High Value
249,2240,2,1,Low Value
250,22091,25,7,High Value
251,24661,22,8,High Value
252,10043,16,5,Low Value
253,23104,25,8,High Value
254,12119,13,4,Medium Value
255,12999,16,5,Medium Value
256,7389,8,3,Low Value
257,12211,14,4,Medium Value
258,17437,20,6,Medium Value
259,17652,6,4,Medium Value
260,12523,22,6,Medium Value
261,20949,25,8,High Value
262,22365,14,8,High Value
263,20142,22,8,High Value
264,33074,28,10,High Value
265,18780,18,5,High Value
266,10856,23,7,Low Value
267,16595,21,5,Medium Value
268,5628,15,3,Low Value
269,21577,22,7,High Value
270,17030,17,6,Medium Value
271,19721,16,5,High Value
272,8898,9,3,Low Value
273,16602,22,6,Medium Value
274,17449,23,6,Medium Value
275,5288,15,3,Low Value
276,9196,14,5,Low Value
277,15709,20,7,Medium Value
278,31691,20,10,High Value
279,5772,15,4,Low Value
280,6532,18,5,Low Value
281,6795,4,2,Low Value
282,26379,28,8,High Value
283,21425,15,6,High Value
284,7773,6,3,Low Value
285,28106,31,9,High Value
286,7637,5,2,Low Value
287,2295,5,1,Low Value
288,16691,18,5,Medium Value
289,14827,23,6,Medium Value
290,10409,10,4,Low Value
291,12458,11,4,Medium Value
292,5470,12,4,Low Value
293,13042,16,5,Medium Value
294,10651,7,3,Low Value
295,2904,4,2,Low Value
296,16269,12,6,Medium Value
297,27103,31,11,High Value
298,10434,15,5,Low Value
299,17284,13,5,Medium Value
300,11344,21,6,Low Value
301,9117,8,3,Low Value
302,19850,19,7,High Value
303,14014,11,4,Medium Value
304,16462,21,7,Medium Value
305,12211,15,5,Medium Value
306,11545,11,4,Medium Value
307,4972,1,1,Low Value
308,9405,5,3,Low Value
309,7314,6,3,Low Value
310,13092,8,3,Medium Value
311,15544,21,7,Medium Value
312,6864,6,3,Low Value
313,27974,27,9,High Value
314,9955,12,4,Low Value
315,32676,37,11,High Value
316,2748,8,3,Low Value
317,14315,9,3,Medium Value
318,25467,35,9,High Value
319,16758,19,5,Medium Value
320,12356,10,5,Medium Value
321,8310,12,4,Low Value
322,16585,19,5,Medium Value
323,7726,6,3,Low Value
324,13370,14,5,Medium Value
325,23078,19,8,High Value
326,13314,18,5,Medium Value
327,18548,16,6,High Value
328,9666,19,6,Low Value
329,28031,23,8,High Value
330,26298,25,9,High Value
331,14475,9,5,Medium Value
332,16503,13,6,Medium Value
333,11409,12,4,Medium Value
334,9034,15,5,Low Value
335,20173,20,6,High Value
336,5454,5,2,Low Value
337,11645,11,4,Medium Value
338,8926,15,4,Low Value
339,16131,8,5,Medium Value
340,33669,30,10,High Value
341,7945,17,5,Low Value
342,28585,34,10,High Value
343,11403,14,5,Medium Value
344,17832,22,7,Medium Value
345,13967,27,7,Medium Value
346,14283,14,5,Medium Value
347,17563,14,6,Medium Value
348,25727,24,9,High Value
349,13096,14,4,Medium Value
350,16661,8,5,Medium Value
351,17230,23,8,Medium Value
352,6959,13,3,Low Value
353,19498,28,7,High Value
354,16174,14,4,Medium Value
355,7767,8,3,Low Value
356,11498,12,4,Medium Value
357,22995,19,6,High Value
358,13566,8,4,Medium Value
359,16589,18,5,Medium Value
360,10562,14,5,Low Value
361,6893,12,3,Low Value
362,4964,4,1,Low Value
363,14543,17,5,Medium Value
364,14827,19,6,Medium Value
365,7992,6,3,Low Value
366,3288,9,2,Low Value
367,8455,9,3,Low Value
368,2052,6,2,Low Value
369,12817,13,4,Medium Value
370,14914,22,6,Medium Value
371,10024,10,5,Low Value
372,14200,13,5,Medium Value
373,7553,3,2,Low Value
374,25461,29,7,High Value
375,12176,10,4,Medium Value
376,24007,16,7,High Value
377,15264,13,6,Medium Value
378,10739,9,3,Low Value
379,13401,5,3,Medium Value
380,12376,12,4,Medium Value
381,10658,9,4,Low Value
382,6765,7,3,Low Value
383,10593,9,4,Low Value
384,14018,18,6,Medium Value
385,16038,18,6,Medium Value
386,11103,19,5,Low Value
387,6514,9,3,Low Value
388,15756,9,4,Medium Value
389,11814,15,5,Medium Value
390,13721,7,3,Medium Value
391,12602,13,5,Medium Value
392,10354,15,4,Low Value
393,11362,12,5,Medium Value
394,13415,18,5,Medium Value
395,4099,7,2,Low Value
396,23468,10,5,High Value
397,9519,15,6,Low Value
398,17712,20,6,Medium Value
399,13606,14,4,Medium Value
400,26338,28,8,High Value
401,13078,25,8,Medium Value
402,24017,27,9,High Value
403,25165,19,6,High Value
404,16247,21,7,Medium Value
405,4577,5,2,Low Value
406,16833,23,8,Medium Value
407,2780,6,2,Low Value
408,17312,10,4,Medium Value
409,25320,28,9,High Value
410,403,4,1,Low Value
411,20561,22,8,High Value
412,17208,20,7,Medium Value
413,8600,5,3,Low Value
414,7889,7,2,Low Value
415,1945,9,2,Low Value
416,9715,11,3,Low Value
417,8980,11,4,Low Value
418,12685,11,4,Medium Value
419,10255,14,5,Low Value
420,16320,12,5,Medium Value
421,15303,18,6,Medium Value
422,11972,15,5,Medium Value
423,10081,11,3,Low Value
424,14366,15,5,Medium Value
425,12512,15,5,Medium Value
426,10239,11,4,Low Value
427,14494,12,5,Medium Value
428,16117,15,7,Medium Value
429,5807,12,4,Low Value
430,6081,5,3,Low Value
431,14957,18,5,Medium Value
432,26191,20,8,High Value
433,1998,6,2,Low Value
434,13228,22,7,Medium Value
435,16171,25,7,Medium Value
436,6221,12,3,Low Value
437,8776,10,3,Low Value
438,10803,10,4,Low Value
439,4115,8,3,Low Value
440,15615,10,5,Medium Value
441,9936,20,5,Low Value
442,12032,10,3,Medium Value
443,17189,12,5,Medium Value
444,10788,22,6,Low Value
445,9444,18,5,Low Value
446,24805,18,7,High Value
447,3811,8,2,Low Value
448,7644,9,3,Low Value
449,10076,14,5,Low Value
450,23219,27,8,High Value
451,13573,22,6,Medium Value
452,20587,23,7,High Value
453,10823,9,4,Low Value
454,17685,15,5,Medium Value
455,15020,11,4,Medium Value
456,9083,7,2,Low Value
457,16123,12,5,Medium Value
458,6910,10,3,Low Value
459,15600,9,4,Medium Value
460,27338,22,8,High Value
461,12787,7,3,Medium Value
462,23295,23,7,High Value
463,12341,15,4,Medium Value
464,11431,13,4,Medium Value
465,9020,12,3,Low Value
466,8184,10,3,Low Value
467,20572,9,5,High Value
468,13542,15,5,Medium Value
469,19161,17,6,High Value
470,16199,11,4,Medium Value
471,18896,27,7,High Value
472,13059,9,5,Medium Value
473,8736,13,6,Low Value
474,19227,21,6,High Value
475,5688,5,2,Low Value
476,8451,4,2,Low Value
477,7924,9,2,Low Value
478,14545,10,4,Medium Value
479,6495,9,3,Low Value
480,8069,13,3,Low Value
481,14978,18,5,Medium Value
482,13719,20,6,Medium Value
483,17229,26,8,Medium Value
484,18909,26,7,High Value
485,28080,24,8,High Value
486,19650,30,10,High Value
487,2939,4,2,Low Value
488,24331,20,8,High Value
489,12838,20,8,Medium Value
490,13731,15,4,Medium Value
491,9545,16,4,Low Value
492,25356,22,8,High Value
493,16629,22,8,Medium Value
494,2492,5,2,Low Value
495,9602,10,4,Low Value
496,5841,8,4,Low Value
497,23974,30,9,High Value
498,8942,9,3,Low Value
499,19534,25,8,High Value
500,12219,18,5,Medium Value
501,8163,8,3,Low Value
502,9516,16,4,Low Value
503,20118,21,7,High Value
504,13779,13,5,Medium Value
505,22835,32,10,High Value
506,8562,14,5,Low Value
507,15061,15,5,Medium Value
508,13208,13,4,Medium Value
509,6070,6,3,Low Value
510,24241,19,7,High Value
511,11152,13,5,Low Value
512,3132,4,1,Low Value
513,16829,16,5,Medium Value
514,4187,7,3,Low Value
515,9660,4,3,Low Value
516,17779,22,6,Medium Value
517,6503,12,4,Low Value
518,10743,23,7,Low Value
519,11017,9,4,Low Value
520,5842,13,4,Low Value
521,10191,17,5,Low Value
522,13158,17,5,Medium Value
523,16482,13,5,Medium Value
524,16168,25,7,Medium Value
525,12543,18,5,Medium Value
526,22053,22,8,High Value
527,18623,25,6,High Value
528,10830,15,4,Low Value
529,14466,13,5,Medium Value
530,24520,31,9,High Value
531,10680,9,3,Low Value
532,17553,10,5,Medium Value
533,22594,22,8,High Value
534,21665,28,8,High Value
535,10956,8,3,Low Value
536,20509,17,6,High Value
537,3755,7,2,Low Value
538,11298,17,7,Low Value
539,46390,44,13,High Value
540,14149,12,5,Medium Value
541,4166,5,3,Low Value
542,17431,16,6,Medium Value
543,7620,9,4,Low Value
544,9522,5,3,Low Value
545,14128,15,5,Medium Value
546,13422,12,5,Medium Value
547,17435,16,6,Medium Value
548,29989,28,8,High Value
549,15527,8,4,Medium Value
550,6211,7,3,Low Value
551,13985,24,6,Medium Value
552,4500,2,1,Low Value
553,7656,7,3,Low Value
554,14303,11,4,Medium Value
555,33993,19,10,High Value
556,4583,5,2,Low Value
557,16712,12,5,Medium Value
558,10039,7,3,Low Value
559,7972,19,5,Low Value
560,9581,15,4,Low Value
561,19931,20,7,High Value
562,5520,6,2,Low Value
563,13867,25,7,Medium Value
564,7230,7,2,Low Value
565,10573,19,7,Low Value
566,11924,11,4,Medium Value
567,15700,19,6,Medium Value
568,20210,19,6,High Value
569,13105,13,4,Medium Value
570,8792,13,4,Low Value
571,1432,2,1,Low Value
572,15942,21,8,Medium Value
573,24458,22,8,High Value
574,16821,12,5,Medium Value
575,17550,18,6,Medium Value
576,8962,6,3,Low Value
577,16413,24,6,Medium Value
578,16873,14,5,Medium Value
579,32023,28,10,High Value
580,25102,21,8,High Value
581,11882,14,4,Medium Value
582,14676,14,5,Medium Value
583,9991,10,4,Low Value
585,8786,9,3,Low Value
586,16816,15,5,Medium Value
587,19135,14,6,High Value
588,3679,5,3,Low Value
589,24219,19,7,High Value
590,11354,13,4,Medium Value
591,8254,10,3,Low Value
592,3659,15,4,Low Value
593,9354,10,4,Low Value
594,28316,36,10,High Value
595,14700,16,5,Medium Value
596,9196,10,3,Low Value
597,10390,8,3,Low Value
598,28069,27,9,High Value
599,11040,20,5,Low Value
600,11578,12,5,Medium Value
601,16488,12,5,Medium Value
602,14412,15,5,Medium Value
603,5606,8,4,Low Value
604,6626,2,2,Low Value
605,8599,7,3,Low Value
606,14211,18,5,Medium Value
607,14653,16,5,Medium Value
608,15883,19,5,Medium Value
609,16586,26,7,Medium Value
610,5102,4,1,Low Value
611,7763,10,2,Low Value
612,5980,3,2,Low Value
614,8100,13,4,Low Value
615,17974,32,8,High Value
616,13949,13,4,Medium Value
617,6735,3,2,Low Value
618,23062,22,9,High Value
619,13440,12,4,Medium Value
620,5373,7,2,Low Value
621,7307,13,3,Low Value
622,9305,6,2,Low Value
623,8674,7,3,Low Value
624,10873,8,3,Low Value
625,26445,23,9,High Value
626,4772,10,2,Low Value
627,13431,11,4,Medium Value
628,10562,12,4,Low Value
629,2350,7,2,Low Value
630,29948,33,10,High Value
631,14142,21,5,Medium Value
632,18397,17,5,High Value
633,10764,20,6,Low Value
634,21618,26,9,High Value
635,11466,18,5,Medium Value
636,12144,8,3,Medium Value
637,14961,18,6,Medium Value
638,10118,11,3,Low Value
639,3796,4,2,Low Value
640,25145,28,9,High Value
641,15956,18,6,Medium Value
642,10072,9,4,Low Value
643,9148,8,4,Low Value
644,21758,26,8,High Value
645,13953,17,6,Medium Value
646,8708,11,3,Low Value
647,666,2,1,Low Value
648,7955,18,5,Low Value
649,7572,22,5,Low Value
650,14298,23,7,Medium Value
651,19678,30,10,High Value
652,8663,15,5,Low Value
653,5088,5,2,Low Value
654,4878,10,3,Low Value
655,22047,31,8,High Value
656,8959,24,6,Low Value
658,9150,9,3,Low Value
659,12330,13,5,Medium Value
660,16901,10,6,Medium Value
661,8857,9,3,Low Value
662,7105,6,4,Low Value
663,27752,29,10,High Value
664,16770,16,6,Medium Value
665,15452,13,5,Medium Value
666,15183,9,4,Medium Value
667,3840,9,3,Low Value
668,17767,25,10,Medium Value
669,27056,17,9,High Value
670,9493,7,3,Low Value
671,21590,25,7,High Value
672,9472,9,4,Low Value
673,755,3,1,Low Value
674,20644,26,7,High Value
675,9873,10,3,Low Value
676,13475,12,5,Medium Value
677,19405,15,6,High Value
678,20818,24,8,High Value
679,19004,13,5,High Value
680,5784,4,3,Low Value
681,7582,8,2,Low Value
682,18485,16,7,High Value
683,19152,15,6,High Value
684,14074,14,6,Medium Value
685,3701,11,3,Low Value
686,7822,9,2,Low Value
687,8395,9,2,Low Value
688,2075,3,1,Low Value
689,12463,15,4,Medium Value
690,12773,6,3,Medium Value
691,7219,14,3,Low Value
692,16707,8,5,Medium Value
693,2678,9,3,Low Value
694,10571,8,4,Low Value
695,14347,11,4,Medium Value
696,797,1,1,Low Value
697,19096,17,6,High Value
698,12673,10,6,Medium Value
699,15301,23,7,Medium Value
700,11085,9,3,Low Value
701,6339,7,2,Low Value
702,16995,15,5,Medium Value
703,6359,9,2,Low Value
704,15097,12,4,Medium Value
705,14241,29,7,Medium Value
706,8218,12,4,Low Value
707,19611,18,5,High Value
708,14792,21,6,Medium Value
709,11335,12,5,Low Value
710,20976,21,7,High Value
711,14232,24,7,Medium Value
712,20667,14,6,High Value
713,5349,8,3,Low Value
714,19127,18,7,High Value
715,15745,14,6,Medium Value
716,3919,4,1,Low Value
717,12541,15,4,Medium Value
718,8973,10,3,Low Value
719,12055,19,5,Medium Value
720,19166,23,6,High Value
721,6741,8,3,Low Value
722,22479,33,8,High Value
723,20785,27,8,High Value
724,3411,10,3,Low Value
725,8367,11,4,Low Value
726,11790,13,4,Medium Value
727,10470,10,3,Low Value
728,8378,16,4,Low Value
729,9351,14,5,Low Value
730,30587,46,12,High Value
731,11453,7,3,Medium Value
732,25122,23,7,High Value
733,8516,15,5,Low Value
734,14355,21,7,Medium Value
735,11920,7,5,Medium Value
736,14728,15,5,Medium Value
737,8717,13,5,Low Value
738,3231,7,3,Low Value
739,10327,15,5,Low Value
740,22729,24,9,High Value
741,4816,6,3,Low Value
742,16904,14,5,Medium Value
743,31135,27,10,High Value
744,13251,14,4,Medium Value
745,6311,9,3,Low Value
746,14686,9,5,Medium Value
747,17784,15,5,Medium Value
748,11562,14,5,Medium Value
749,19108,19,7,High Value
750,1430,9,2,Low Value
751,13401,12,4,Medium Value
752,16813,14,5,Medium Value
753,10911,12,4,Low Value
754,11564,20,5,Medium Value
755,9980,13,4,Low Value
756,9744,12,4,Low Value
757,6245,5,2,Low Value
758,13941,8,4,Medium Value
759,4606,4,1,Low Value
760,6255,6,2,Low Value
761,25486,35,9,High Value
762,15136,25,8,Medium Value
763,14824,15,4,Medium Value
764,15023,19,6,Medium Value
765,15941,9,4,Medium Value
766,18084,26,9,High Value
767,19659,18,6,High Value
768,19093,15,7,High Value
769,6926,14,4,Low Value
770,23148,19,6,High Value
771,11461,15,4,Medium Value
772,8370,12,4,Low Value
773,14077,12,4,Medium Value
774,17867,25,7,Medium Value
775,6056,10,3,Low Value
776,14734,21,6,Medium Value
777,13422,18,5,Medium Value
778,7649,10,3,Low Value
779,4305,9,3,Low Value
780,824,2,1,Low Value
781,20679,18,7,High Value
782,8034,4,3,Low Value
783,10563,14,4,Low Value
784,6602,14,4,Low Value
785,8623,20,5,Low Value
786,8269,14,4,Low Value
787,4602,4,1,Low Value
788,14855,15,5,Medium Value
789,3167,4,2,Low Value
790,10760,15,5,Low Value
791,22858,18,7,High Value
792,8068,10,3,Low Value
793,6414,15,3,Low Value
794,19827,23,7,High Value
795,12227,14,4,Medium Value
797,220,2,1,Low Value
798,16152,16,5,Medium Value
799,24039,18,6,High Value
800,23458,31,10,High Value
801,6888,8,3,Low Value
802,10892,18,4,Low Value
803,22704,14,7,High Value
804,10176,5,3,Low Value
805,16909,26,7,Medium Value
806,12000,14,4,Medium Value
807,21627,18,7,High Value
808,5617,8,3,Low Value
809,14823,23,5,Medium Value
810,19661,16,8,High Value
811,10832,13,4,Low Value
812,14573,21,6,Medium Value
813,5634,7,2,Low Value
814,14913,17,5,Medium Value
815,7898,6,2,Low Value
816,4578,10,4,Low Value
817,13551,12,5,Medium Value
818,20475,22,7,High Value
819,15655,17,5,Medium Value
820,25363,20,8,High Value
821,14570,18,6,Medium Value
822,12874,16,5,Medium Value
823,14322,12,4,Medium Value
824,5160,13,3,Low Value
825,15042,16,6,Medium Value
826,10464,7,3,Low Value
827,26106,24,9,High Value
828,8760,12,3,Low Value
829,11523,10,4,Medium Value
830,13238,8,3,Medium Value
831,11403,12,4,Medium Value
833,15507,16,5,Medium Value
834,5942,7,3,Low Value
835,16762,12,5,Medium Value
836,22445,25,8,High Value
837,4893,8,2,Low Value
838,8222,17,5,Low Value
839,22452,23,8,High Value
840,18564,17,7,High Value
841,12070,11,4,Medium Value
842,43977,48,13,High Value
843,14861,9,4,Medium Value
844,6702,11,3,Low Value
845,17917,14,5,Medium Value
846,10650,9,3,Low Value
847,23557,30,8,High Value
848,15680,21,8,Medium Value
849,8636,6,2,Low Value
850,20948,23,7,High Value
851,11393,11,5,Medium Value
852,21593,21,8,High Value
853,15308,21,6,Medium Value
854,14681,9,4,Medium Value
855,9116,9,4,Low Value
856,21008,24,7,High Value
857,23400,17,8,High Value
858,8831,13,5,Low Value
859,8029,14,3,Low Value
860,10283,11,4,Low Value
861,14327,16,5,Medium Value
862,6770,14,4,Low Value
863,14443,19,5,Medium Value
864,20705,18,6,High Value
865,18384,20,7,High Value
866,9184,11,3,Low Value
867,3638,7,2,Low Value
868,7140,7,4,Low Value
869,11233,14,3,Low Value
870,3268,7,3,Low Value
871,18929,27,9,High Value
872,21693,22,8,High Value
873,32250,27,8,High Value
874,1911,3,1,Low Value
875,22107,30,8,High Value
876,8202,10,4,Low Value
877,7897,13,4,Low Value
878,5883,2,2,Low Value
879,12676,9,4,Medium Value
880,33394,28,10,High Value
881,17891,22,6,Medium Value
882,6431,10,4,Low Value
883,23173,25,8,High Value
884,4738,8,2,Low Value
885,212,3,1,Low Value
886,20093,18,6,High Value
887,7814,8,3,Low Value
888,19624,18,6,High Value
889,19347,16,6,High Value
890,13796,14,5,Medium Value
891,15139,15,4,Medium Value
892,33440,34,10,High Value
893,23539,19,6,High Value
894,17317,26,7,Medium Value
895,2876,1,1,Low Value
896,11136,7,3,Low Value
897,10489,10,5,Low Value
898,1893,2,1,Low Value
899,12889,7,4,Medium Value
900,13353,13,5,Medium Value
901,5228,16,4,Low Value
902,13037,12,4,Medium Value
903,12120,20,6,Medium Value
904,4716,7,2,Low Value
905,9288,10,4,Low Value
906,20725,26,7,High Value
907,14006,14,5,Medium Value
908,26876,27,9,High Value
909,8926,11,4,Low Value
910,18459,22,6,High Value
912,15634,16,5,Medium Value
913,11743,15,5,Medium Value
914,17823,14,4,Medium Value
915,16988,23,8,Medium Value
916,11737,8,3,Medium Value
917,11133,18,6,Low Value
918,10801,15,5,Low Value
919,15653,12,6,Medium Value
920,25006,22,7,High Value
921,17687,27,8,Medium Value
922,17470,27,7,Medium Value
923,15405,18,5,Medium Value
924,19204,22,6,High Value
925,5774,6,2,Low Value
926,3789,5,2,Low Value
927,15731,15,7,Medium Value
928,10406,17,5,Low Value
929,11943,17,5,Medium Value
930,12673,14,5,Medium Value
931,22370,18,7,High Value
932,11296,14,5,Low Value
933,19245,21,6,High Value
934,16530,28,8,Medium Value
935,28406,19,7,High Value
936,10101,8,4,Low Value
937,5488,8,2,Low Value
938,13004,15,6,Medium Value
939,9062,13,4,Low Value
940,12896,12,5,Medium Value
941,22278,23,8,High Value
942,30924,24,9,High Value
943,36345,33,10,High Value
944,20990,20,7,High Value
945,9108,12,5,Low Value
946,10260,13,5,Low Value
947,12888,12,6,Medium Value
948,19693,21,7,High Value
949,8257,5,2,Low Value
950,11451,9,4,Medium Value
951,23205,27,8,High Value
952,4670,6,2,Low Value
953,19330,33,10,High Value
954,19578,28,8,High Value
955,9959,11,5,Low Value
956,8490,17,5,Low Value
957,8435,13,3,Low Value
958,6962,16,4,Low Value
959,10507,12,4,Low Value
960,9538,14,4,Low Value
961,8435,8,4,Low Value
962,11515,16,5,Medium Value
963,18887,18,6,High Value
964,10448,9,4,Low Value
965,14120,24,6,Medium Value
966,11886,8,4,Medium Value
967,15655,14,5,Medium Value
968,17402,20,6,Medium Value
969,8489,6,2,Low Value
970,19173,25,6,High Value
971,16585,20,6,Medium Value
972,18954,23,7,High Value
973,27255,27,9,High Value
974,18484,18,6,High Value
975,7569,15,4,Low Value
976,11044,14,4,Low Value
977,5138,10,2,Low Value
978,6885,12,3,Low Value
979,12878,21,6,Medium Value
980,12712,9,3,Medium Value
981,3697,15,4,Low Value
982,12292,17,5,Medium Value
983,1408,6,2,Low Value
984,10700,12,3,Low Value
985,13829,18,7,Medium Value
986,21347,17,5,High Value
987,21255,20,6,High Value
988,21442,24,7,High Value
989,8170,9,4,Low Value
990,18750,28,9,High Value
991,17053,15,7,Medium Value
992,18422,22,8,High Value
993,13099,10,6,Medium Value
994,8176,15,4,Low Value
995,22902,20,7,High Value
